weekday_utc,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
Mon,106.78846153846153,106.82692307692308,105.26923076923077,105.59615384615384,105.5576923076923,106.96153846153847,107.59615384615384,112.40384615384616,116.53846153846153,124.0,131.17307692307693,136.65384615384616,142.57692307692307,144.5,142.8846153846154,139.23076923076923,135.1153846153846,130.96153846153845,126.11538461538461,122.65384615384616,119.78846153846153,117.11538461538461,114.0576923076923,113.61538461538461,112.5576923076923,112.75,113.9423076923077,117.03846153846153,121.36538461538461,128.32692307692307,137.07692307692307,145.09615384615384,151.98076923076923,159.26923076923077,163.71153846153845,167.30769230769232,168.48076923076923,168.76923076923077,167.96153846153845,166.30769230769232,161.32692307692307,153.82692307692307,144.73076923076923,133.17307692307693,125.6923076923077,121.21153846153847,117.71153846153847,116.01923076923077
Tue,117.11538461538461,116.51923076923077,114.90384615384616,115.40384615384616,114.76923076923077,115.63461538461539,116.5,119.71153846153847,123.51923076923077,130.07692307692307,137.26923076923077,144.82692307692307,151.09615384615384,152.8846153846154,151.3653846153846,148.21153846153845,144.57692307692307,139.67307692307693,134.30769230769232,129.17307692307693,125.13461538461539,121.67307692307692,119.98076923076923,119.15384615384616,118.59615384615384,119.82692307692308,121.15384615384616,124.59615384615384,129.51923076923077,135.59615384615384,144.51923076923077,153.34615384615384,161.19230769230768,167.44230769230768,171.51923076923077,173.96153846153845,175.1153846153846,174.80769230769232,173.46153846153845,171.40384615384616,167.1153846153846,162.19230769230768,153.65384615384616,143.78846153846155,136.73076923076923,131.82692307692307,128.84615384615384,127.88461538461539
Wed,127.39622641509433,127.09433962264151,126.0,126.0,125.47169811320755,126.54716981132076,126.64150943396227,130.03773584905662,133.03773584905662,140.83018867924528,146.9245283018868,154.0,158.9245283018868,160.28301886792454,158.8490566037736,154.83018867924528,150.37735849056602,144.60377358490567,139.0943396226415,133.9811320754717,131.0188679245283,128.52830188679246,126.24528301886792,125.09433962264151,124.01886792452831,124.13207547169812,124.73584905660377,127.84905660377359,132.60377358490567,138.33962264150944,146.32075471698113,154.9433962264151,162.71698113207546,169.18867924528303,173.28301886792454,176.30188679245282,177.79245283018867,177.56603773584905,175.69811320754718,173.0754716981132,167.67924528301887,161.64150943396226,151.8679245283019,139.9245283018868,131.43396226415095,124.90566037735849,121.9622641509434,120.81132075471699
Thu,121.9423076923077,121.3076923076923,119.36538461538461,118.63461538461539,118.15384615384616,118.25,118.1923076923077,122.9423076923077,125.9423076923077,133.3653846153846,139.8653846153846,145.67307692307693,150.98076923076923,150.8846153846154,149.0,144.5,139.01923076923077,133.90384615384616,128.3653846153846,123.61538461538461,120.03846153846153,117.4423076923077,114.9423076923077,112.96153846153847,111.90384615384616,112.8076923076923,113.88461538461539,115.53846153846153,119.48076923076923,125.13461538461539,132.8846153846154,142.23076923076923,149.8846153846154,157.07692307692307,160.59615384615384,162.59615384615384,163.78846153846155,163.28846153846155,161.84615384615384,160.15384615384616,155.76923076923077,150.09615384615384,142.53846153846155,133.6153846153846,126.76923076923077,121.57692307692308,118.42307692307692,117.71153846153847
Fri,118.26923076923077,117.51923076923077,116.03846153846153,115.42307692307692,114.59615384615384,115.1923076923077,116.03846153846153,120.46153846153847,123.46153846153847,130.51923076923077,136.90384615384616,142.76923076923077,146.59615384615384,146.5,144.26923076923077,139.6346153846154,135.01923076923077,129.82692307692307,123.96153846153847,119.8076923076923,116.6923076923077,113.75,111.73076923076923,110.63461538461539,110.0576923076923,109.96153846153847,110.75,113.23076923076923,117.0576923076923,120.8076923076923,128.8653846153846,137.46153846153845,145.8653846153846,152.73076923076923,156.5,159.46153846153845,160.76923076923077,161.19230769230768,159.5,157.69230769230768,154.73076923076923,150.57692307692307,144.28846153846155,135.48076923076923,128.69230769230768,122.03846153846153,118.0576923076923,115.84615384615384
Sat,116.25,114.59615384615384,112.4423076923077,111.38461538461539,110.1923076923077,110.42307692307692,109.96153846153847,110.13461538461539,110.4423076923077,112.1923076923077,113.46153846153847,116.0576923076923,117.73076923076923,120.3076923076923,119.25,117.46153846153847,114.11538461538461,111.13461538461539,107.8076923076923,105.3076923076923,102.42307692307692,101.90384615384616,99.40384615384616,98.88461538461539,98.57692307692308,98.23076923076923,98.03846153846153,99.01923076923077,101.90384615384616,105.92307692307692,112.6923076923077,120.48076923076923,127.42307692307692,132.55769230769232,136.80769230769232,140.21153846153845,141.19230769230768,140.59615384615384,138.71153846153845,138.28846153846155,134.59615384615384,129.40384615384616,122.86538461538461,115.96153846153847,110.01923076923077,105.98076923076923,103.13461538461539,101.82692307692308
Sun,103.21153846153847,103.15384615384616,101.34615384615384,101.42307692307692,101.0576923076923,100.71153846153847,100.07692307692308,99.5576923076923,99.40384615384616,100.13461538461539,100.86538461538461,102.17307692307692,102.57692307692308,104.63461538461539,103.65384615384616,103.32692307692308,102.84615384615384,101.26923076923077,98.65384615384616,97.09615384615384,95.98076923076923,94.98076923076923,94.71153846153847,95.25,95.07692307692308,95.90384615384616,97.48076923076923,99.42307692307692,103.92307692307692,109.3076923076923,116.32692307692308,123.76923076923077,131.30769230769232,136.30769230769232,141.01923076923077,144.59615384615384,145.67307692307693,147.51923076923077,145.98076923076923,144.07692307692307,140.1153846153846,134.8653846153846,127.23076923076923,120.0,113.67307692307692,108.84615384615384,105.86538461538461,105.38461538461539
