week_start_utc,week_end_utc,selected_start_utc,selected_actual_emissions_gco2,oracle_start_utc,oracle_emissions_gco2,average_window_emissions_gco2,fixed_monday_offpeak_emissions_gco2
2025-11-01 00:00:00+00:00,2025-11-08 00:00:00+00:00,2025-11-02 08:30:00+00:00,141.5,2025-11-01 08:30:00+00:00,71.5,230.25975975975976,88.0
2025-11-08 00:00:00+00:00,2025-11-15 00:00:00+00:00,2025-11-14 03:30:00+00:00,106.5,2025-11-11 22:00:00+00:00,84.0,241.67717717717719,339.0
2025-11-15 00:00:00+00:00,2025-11-22 00:00:00+00:00,2025-11-15 04:00:00+00:00,96.0,2025-11-15 02:30:00+00:00,93.0,310.44894894894895,95.5
2025-11-22 00:00:00+00:00,2025-11-29 00:00:00+00:00,2025-11-24 08:30:00+00:00,382.0,2025-11-23 09:30:00+00:00,86.0,253.12762762762762,178.5
2025-11-29 00:00:00+00:00,2025-12-06 00:00:00+00:00,2025-11-29 10:00:00+00:00,180.0,2025-11-30 04:30:00+00:00,80.0,251.0105105105105,123.5
2025-12-06 00:00:00+00:00,2025-12-13 00:00:00+00:00,2025-12-11 02:30:00+00:00,132.0,2025-12-09 03:00:00+00:00,83.0,193.46546546546546,108.5
2025-12-13 00:00:00+00:00,2025-12-20 00:00:00+00:00,2025-12-15 10:30:00+00:00,329.0,2025-12-14 22:30:00+00:00,78.0,237.7177177177177,192.0
2025-12-20 00:00:00+00:00,2025-12-27 00:00:00+00:00,2025-12-26 05:00:00+00:00,160.0,2025-12-24 03:30:00+00:00,102.5,221.97147147147146,206.0
